i,time,loss,ce,kl,accuracy
244700,26724.265102148056,0.12781505286693573,0.05580826476216316,0.8175185322761536,0.9777500629425049
244800,26734.889998197556,0.17485442757606506,0.10297932475805283,0.8160235285758972,0.9782499670982361
244900,26745.76136136055,0.17785635590553284,0.10720410197973251,0.8021398782730103,0.969249963760376
245000,26756.43922495842,0.12637336552143097,0.055671561509370804,0.8027024865150452,0.9725000262260437
245100,26767.308609247208,0.11562713235616684,0.04699324071407318,0.7792248129844666,0.9747500419616699
245200,26777.86776328087,0.16310599446296692,0.09300558269023895,0.7958747148513794,0.9699999094009399
245300,26788.781745672226,0.1372971385717392,0.07126364856958389,0.7497015595436096,0.9717499613761902
245400,26799.419039011,0.16039274632930756,0.09344857186079025,0.7600408792495728,0.9775000214576721
245500,26810.206343889236,0.10615038871765137,0.039201926440000534,0.7600895166397095,0.9764999151229858
245600,26820.840636253357,0.1452147364616394,0.07137836515903473,0.838290274143219,0.9742500185966492
245700,26831.71197462082,0.12095654010772705,0.053129732608795166,0.7700616717338562,0.9732500314712524
245800,26842.257204532623,0.1669665277004242,0.09141106903553009,0.8578078150749207,0.9777500033378601
245900,26853.040396928787,0.1222468838095665,0.05517537146806717,0.7614865899085999,0.9712499976158142
246000,26863.56557559967,0.14247292280197144,0.0700550526380539,0.822185754776001,0.9747499823570251
246100,26874.436831474304,0.1505603790283203,0.07916943728923798,0.8105266690254211,0.9737499356269836
246200,26885.167998313904,0.11113625764846802,0.04322509840130806,0.7710193395614624,0.9679999351501465
246300,26896.02445912361,0.1637459099292755,0.09289662539958954,0.8043768405914307,0.9760000109672546
246400,26906.670598506927,0.14079469442367554,0.06478464603424072,0.862968921661377,0.9705000519752502
246500,26917.4881234169,0.12567651271820068,0.05399758368730545,0.8137961030006409,0.9742499589920044
246600,26928.06951713562,0.12694230675697327,0.055754341185092926,0.8082219958305359,0.9779999256134033
246700,26938.69499349594,0.18369923532009125,0.11180691421031952,0.816218912601471,0.9652500152587891
246800,26949.175738573074,0.16354107856750488,0.08916480839252472,0.8444201350212097,0.9707499742507935
246900,26959.961088895798,0.15681521594524384,0.07706814259290695,0.9053966999053955,0.9747499823570251
247000,26970.501562833786,0.1757340282201767,0.10054545104503632,0.853642463684082,0.9810000658035278
247100,26981.110547304153,0.1333334743976593,0.06414841115474701,0.7854825258255005,0.9735000133514404
247200,26991.624792575836,0.1311657875776291,0.06231905147433281,0.7816413640975952,0.9754999279975891
247300,27002.39560484886,0.15647491812705994,0.08250780403614044,0.8397746682167053,0.9810000061988831
247400,27012.910355567932,0.11227811872959137,0.04012380912899971,0.819193422794342,0.9712499976158142
247500,27023.726954698563,0.13745181262493134,0.06691211462020874,0.8008620738983154,0.9757500290870667
247600,27034.493047475815,0.11718730628490448,0.046526018530130386,0.8022425174713135,0.9752500057220459
247700,27045.405313014984,0.1434454768896103,0.07461868226528168,0.7814148664474487,0.9735000133514404
247800,27056.01956295967,0.1322093904018402,0.06031881645321846,0.8161990642547607,0.9760000705718994
