i,loss,similarity
570,1.6988756656646729,0.5415000319480896
580,1.608963966369629,0.5247499942779541
590,1.6523206233978271,0.5329999923706055
600,1.635556936264038,0.5072500109672546
610,1.6120922565460205,0.5047500133514404
620,1.6271188259124756,0.5117500424385071
630,1.4213417768478394,0.5232499837875366
640,1.5833852291107178,0.518750011920929
650,1.6577434539794922,0.4895000457763672
660,1.633694052696228,0.512499988079071
670,1.5494571924209595,0.5020000338554382
680,1.5780051946640015,0.4987500011920929
690,1.6299806833267212,0.49299994111061096
700,1.6281074285507202,0.5205000042915344
710,1.518267273902893,0.4857500195503235
720,1.4160659313201904,0.47450000047683716
730,1.5931915044784546,0.4909999966621399
740,1.5250245332717896,0.47400006651878357
750,1.5613502264022827,0.47099998593330383
760,1.547815203666687,0.46549999713897705
770,1.5270053148269653,0.48500001430511475
780,1.5623522996902466,0.4802500009536743
790,1.6596672534942627,0.4650000035762787
800,1.4733068943023682,0.46825000643730164
810,1.5852773189544678,0.46549999713897705
820,1.5019134283065796,0.45524996519088745
830,1.5698081254959106,0.4672499895095825
840,1.5521225929260254,0.4632500410079956
850,1.5372111797332764,0.4802500009536743
860,1.643848180770874,0.45725002884864807
870,1.4600473642349243,0.453499972820282
880,1.5885365009307861,0.4587499499320984
890,1.5301291942596436,0.4429999887943268
900,1.4682687520980835,0.445749968290329
910,1.5551962852478027,0.4127500057220459
920,1.450444221496582,0.45375001430511475
930,1.5062446594238281,0.44200000166893005
940,1.4519011974334717,0.4305000305175781
950,1.5156618356704712,0.43799999356269836
960,1.5139520168304443,0.4345000088214874
970,1.5116515159606934,0.42824995517730713
980,1.56024968624115,0.4204999804496765
990,1.446304202079773,0.4294999837875366
1000,1.4589507579803467,0.42775002121925354
1010,1.5154768228530884,0.4204999804496765
1020,1.3705394268035889,0.4217499792575836
1030,1.4599699974060059,0.40049999952316284
1040,1.5020315647125244,0.4089999794960022
1050,1.4309165477752686,0.4092499613761902
1060,1.3506940603256226,0.4217499792575836
1070,1.4143646955490112,0.40949997305870056
1080,1.3802525997161865,0.4209999740123749
1090,1.4124375581741333,0.4092499911785126
1100,1.4172167778015137,0.3932500183582306
1110,1.5110080242156982,0.3942500054836273
1120,1.4544216394424438,0.3934999704360962
1130,1.4374639987945557,0.38975003361701965
1140,1.4065320491790771,0.3974999487400055
1150,1.4480608701705933,0.3987499475479126
1160,1.3778889179229736,0.39900001883506775
1170,1.4679505825042725,0.3882499933242798
1180,1.2648133039474487,0.4169999659061432
1190,1.385541319847107,0.39049994945526123
1200,1.432685136795044,0.398250013589859
1210,1.3995068073272705,0.4032500088214874
1220,1.3658447265625,0.3922499716281891
1230,1.332190990447998,0.4077500104904175
1240,1.3776607513427734,0.3942500352859497
1250,1.2986685037612915,0.4039999842643738
1260,1.3473255634307861,0.40150001645088196
1270,1.3061602115631104,0.4099999964237213
1280,1.3392918109893799,0.4022499918937683
1290,1.32468581199646,0.3985000252723694
