i,time,loss,ce,kl,logp,qed,sas,accuracy,prec
2200,807.2715566158295,                        0.269612193107605,0.026164397597312927,0.12282715737819672,                        0.2314048707485199,0.002343858825042844,0.270675927400589,                        0.992968738079071,0.796875
2225,816.2908449172974,                        0.14031711220741272,0.011533539742231369,0.12163881957530975,                        0.05027715489268303,0.0014006422134116292,0.07350371778011322,                        0.9937499761581421,0.828125
2250,825.2786176204681,                        0.29447320103645325,0.01954520307481289,0.12097162008285522,                        0.38305729627609253,0.0009706823038868606,0.2299695611000061,                        0.9925780892372131,0.8125
2275,834.3205811977386,                        0.17482231557369232,0.03262535482645035,0.11956965923309326,                        0.05514225736260414,0.0005196405691094697,0.11940381675958633,                        0.9925780892372131,0.796875
2300,843.312637090683,                        0.15982067584991455,0.025416377931833267,0.12231127917766571,                        0.037956319749355316,0.0013548051938414574,0.10292501747608185,                        0.9949218034744263,0.828125
2325,852.4046521186829,                        0.1541835218667984,0.021960753947496414,0.1210143193602562,                        0.07906599342823029,0.0012461442966014147,0.05789462849497795,                        0.9933593273162842,0.84375
2350,861.40065741539,                        0.19343695044517517,0.034912414848804474,0.12312966585159302,                        0.13944515585899353,0.0021057913545519114,0.07903995364904404,                        0.991406261920929,0.828125
2375,870.4371275901794,                        0.1900710165500641,0.030935049057006836,0.12075474858283997,                        0.12362357974052429,0.0013580286176875234,0.10358473658561707,                        0.9898436665534973,0.765625
2400,879.472708940506,                        0.1707613170146942,0.012368248775601387,0.12176341563463211,                        0.05431080609560013,0.0013077175244688988,0.1679498553276062,                        0.995312511920929,0.859375
2425,888.5581901073456,                        0.20556922256946564,0.04955219104886055,0.1265300214290619,                        0.07072622328996658,0.001296921051107347,0.131708562374115,                        0.9906250238418579,0.78125
2450,897.5781290531158,                        0.16950644552707672,0.03677740693092346,0.12331517040729523,                        0.05132842808961868,0.001132293720729649,0.08168145269155502,                        0.9976562261581421,0.9375
2475,906.6125683784485,                        0.1781366467475891,0.01555020920932293,0.11851776391267776,                        0.15865811705589294,0.0005961359711363912,0.08640612661838531,                        0.991015613079071,0.78125
2500,915.6082224845886,                        0.17333856225013733,0.013862142339348793,0.12565426528453827,                        0.1197083592414856,0.0021573135163635015,0.09558674693107605,                        0.9917968511581421,0.78125
2525,924.6818625926971,                        0.2528136968612671,0.018729668110609055,0.12438846379518509,                        0.06367295980453491,0.0009046897757798433,0.40473130345344543,                        0.986328125,0.859375
2550,933.679523229599,                        0.28596317768096924,0.03346652537584305,0.12467543035745621,                        0.34325018525123596,0.002121930941939354,0.18459483981132507,                        0.986328125,0.765625
2575,942.7373378276825,                        0.1686871200799942,0.02658803202211857,0.1225530207157135,                        0.07753658294677734,0.0014398088678717613,0.08830469101667404,                        0.9945311546325684,0.859375
2600,951.7643625736237,                        0.34954869747161865,0.04337827116250992,0.1245502233505249,                        0.17934650182724,0.0010878489119932055,0.5287581086158752,                        0.991015613079071,0.75
2625,960.8778569698334,                        0.30817028880119324,0.02047072723507881,0.1235932931303978,                        0.24472495913505554,0.0028272178024053574,0.4024631381034851,                        0.9878906011581421,0.71875
2650,969.9298117160797,                        0.18065980076789856,0.02402292937040329,0.12232150882482529,                        0.07992503046989441,0.0011035696370527148,0.13529054820537567,                        0.985156238079071,0.734375
2675,979.0207188129425,                        0.14648835361003876,0.01897827908396721,0.12084417045116425,                        0.04598637670278549,0.0007424099021591246,0.0761943832039833,                        0.9914062023162842,0.84375
2700,988.0215938091278,                        0.19236931204795837,0.03841692581772804,0.12432286888360977,                        0.051389917731285095,0.001636218512430787,0.14934132993221283,                        0.9921875,0.734375
2725,997.0470278263092,                        0.20862412452697754,0.025912171229720116,0.12477561831474304,                        0.0787120908498764,0.001886367448605597,0.2165023237466812,                        0.991015613079071,0.828125
2750,1006.0355467796326,                        0.21037138998508453,0.05597440525889397,0.12978999316692352,                        0.10308900475502014,0.002566657029092312,0.0845259428024292,                        0.9914062023162842,0.78125
2775,1015.067878484726,                        0.15332013368606567,0.013656547293066978,0.12018896639347076,                        0.03245767951011658,0.0013346142368391156,0.1312805414199829,                        0.9960938096046448,0.90625
2800,1024.024617433548,                        0.2047358751296997,0.028562039136886597,0.12311793863773346,                        0.11679013073444366,0.0013849219540134072,0.1612762063741684,                        0.991406261920929,0.78125
2825,1033.0483949184418,                        0.16192975640296936,0.025779683142900467,0.12354309111833572,                        0.0987868383526802,0.001399538479745388,0.044789474457502365,                        0.9886718988418579,0.75
2850,1041.9215631484985,                        0.2092406153678894,0.02103252150118351,0.12490998208522797,                        0.20647862553596497,0.002405283972620964,0.10620147734880447,                        0.9937500357627869,0.84375
2875,1050.7874240875244,                        0.25089162588119507,0.06519661843776703,0.12575416266918182,                        0.12180901318788528,0.001287449966184795,0.18150144815444946,                        0.9898437857627869,0.765625
2900,1059.61164021492,                        0.1625339388847351,0.015099984593689442,0.12122935056686401,                        0.10395583510398865,0.0011482767295092344,0.08326901495456696,                        0.9945312142372131,0.859375
2925,1068.4786396026611,                        0.1603122353553772,0.020543208345770836,0.11911136656999588,                        0.04124671220779419,0.0015195949235931039,0.12535202503204346,                        0.9910155534744263,0.8125
2950,1077.2863845825195,                        0.13597048819065094,0.016343647614121437,0.12174545973539352,                        0.038422517478466034,0.001043700147420168,0.05492626875638962,                        0.9945312142372131,0.828125
2975,1086.1024494171143,                        0.1564260721206665,0.024554366245865822,0.12207517772912979,                        0.03752582520246506,0.002658242592588067,0.09420033544301987,                        0.9921874403953552,0.84375
3000,1094.873944759369,                        0.1824396252632141,0.020066484808921814,0.12433206290006638,                        0.06889256834983826,0.001524952589534223,0.1599961370229721,                        0.9855468273162842,0.703125
3025,1103.7084860801697,                        0.15320877730846405,0.029847901314496994,0.1239311620593071,                        0.03350060060620308,0.0011644887272268534,0.06670995056629181,                        0.9828124642372131,0.703125
3050,1112.475634098053,                        0.2011043131351471,0.0181434266269207,0.12078790366649628,                        0.24050696194171906,0.0009660607320256531,0.0664268359541893,                        0.991015613079071,0.796875
3075,1121.315186738968,                        0.15502098202705383,0.020350821316242218,0.12322378903627396,                        0.05542367696762085,0.0014279972529038787,0.08398935198783875,                        0.983593761920929,0.59375
3100,1130.087197303772,                        0.19541889429092407,0.031304456293582916,0.12160492688417435,                        0.0735035091638565,0.0010243053548038006,0.16850794851779938,                        0.9902343153953552,0.8125
3125,1138.8962948322296,                        0.13697218894958496,0.015738340094685555,0.12499970197677612,                        0.04225359112024307,0.0009077574359253049,0.048452228307724,                        0.9937499761581421,0.890625
3150,1147.6692554950714,                        0.24858805537223816,0.030076611787080765,0.12294074147939682,                        0.17484813928604126,0.002039537765085697,0.24413195252418518,                        0.9925781488418579,0.78125
3175,1156.5065200328827,                        0.13844427466392517,0.016502734273672104,0.12056391686201096,                        0.06467121094465256,0.0009143040515482426,0.039476484060287476,                        0.9945312142372131,0.828125
3200,1165.2797782421112,                        0.20377856492996216,0.024356398731470108,0.12386508285999298,                        0.2090243250131607,0.001420125481672585,0.07796675711870193,                        0.99609375,0.890625
3225,1174.0946564674377,                        0.1534932553768158,0.025152867659926414,0.11960607767105103,                        0.10120382905006409,0.0015797947999089956,0.026002496480941772,                        0.9937499761581421,0.828125
3250,1182.9187319278717,                        0.16946250200271606,0.025516191497445107,0.1254442185163498,                        0.05512158200144768,0.002088097622618079,0.10900082439184189,                        0.9894530773162842,0.734375
3275,1191.7560226917267,                        0.20457038283348083,0.04466069117188454,0.12265024334192276,                        0.12948516011238098,0.0013186061987653375,0.09560290724039078,                        0.9906250238418579,0.796875
3300,1200.5285272598267,                        0.17780174314975739,0.03390179201960564,0.12653400003910065,                        0.07908575236797333,0.0018712186720222235,0.08237449079751968,                        0.9910155534744263,0.78125
3325,1209.3668489456177,                        0.1388460248708725,0.013393327593803406,0.12029663473367691,                        0.04088212922215462,0.0013650323962792754,0.07518691569566727,                        0.994140625,0.84375
3350,1218.1438825130463,                        0.41134682297706604,0.021936500445008278,0.1225186288356781,                        0.04891275241971016,0.0009781004628166556,0.9418469667434692,                        0.9921875,0.796875
3375,1227.0500161647797,                        0.25491195917129517,0.017553791403770447,0.12149018794298172,                        0.16054213047027588,0.0009266812703572214,0.32599952816963196,                        0.9906250238418579,0.765625
3400,1235.8390424251556,                        0.20639166235923767,0.021302197128534317,0.12431687116622925,                        0.10706827789545059,0.0011799467029049993,0.19792449474334717,                        0.9925781488418579,0.8125
3425,1244.6765019893646,                        0.1687467396259308,0.03374205157160759,0.12478020787239075,                        0.061630889773368835,0.001847922569140792,0.07458629459142685,                        0.994921863079071,0.84375
3450,1253.4484255313873,                        0.18234416842460632,0.015059578232467175,0.12083907425403595,                        0.07993076741695404,0.0016965719405561686,0.17389026284217834,                        0.9902343153953552,0.75
3475,1262.2651097774506,                        0.17724044620990753,0.025144029408693314,0.11986011266708374,                        0.10632196813821793,0.0010182352270931005,0.09999756515026093,                        0.9929687976837158,0.75
3500,1271.0764360427856,                        0.1828153133392334,0.025984961539506912,0.12398087978363037,                        0.0741436779499054,0.001318825758062303,0.13735312223434448,                        0.991406261920929,0.8125
3525,1279.9397113323212,                        0.23062542080879211,0.019064325839281082,0.12317726761102676,                        0.07328686118125916,0.002159769181162119,0.3218138515949249,                        0.9917968511581421,0.796875
3550,1288.786351442337,                        0.29456308484077454,0.028927693143486977,0.12033889442682266,                        0.20400473475456238,0.001950808335095644,0.37864845991134644,                        0.9894530773162842,0.828125
3575,1297.71755194664,                        0.512614369392395,0.03077034279704094,0.12506113946437836,                        0.0729779526591301,0.0018595659639686346,1.218656301498413,                        0.9835937023162842,0.734375
3600,1306.5335772037506,                        0.12698431313037872,0.016090301796793938,0.11930433660745621,                        0.04217502474784851,0.0009155169827863574,0.028295321390032768,                        0.9964843392372131,0.875
3625,1315.4272100925446,                        0.21522539854049683,0.02553645148873329,0.12372659891843796,                        0.13012124598026276,0.0009167162352241576,0.191942036151886,                        0.9886718392372131,0.734375
3650,1324.2388079166412,                        0.22551965713500977,0.027532324194908142,0.12327402085065842,                        0.21491988003253937,0.0015507431235164404,0.1353020966053009,                        0.9917968511581421,0.765625
3675,1333.0648322105408,                        0.22343498468399048,0.020242562517523766,0.12001673132181168,                        0.1944453865289688,0.00403608800843358,0.17878475785255432,                        0.98828125,0.796875
3700,1341.9149005413055,                        0.15442544221878052,0.022205056622624397,0.12337871640920639,                        0.05034054070711136,0.0018200823105871677,0.08012719452381134,                        0.9921874403953552,0.828125
3725,1350.8241112232208,                        0.19120827317237854,0.023160796612501144,0.12056837975978851,                        0.20043092966079712,0.0010733319213613868,0.057233016937971115,                        0.9867187142372131,0.765625
3750,1359.696637392044,                        0.23569270968437195,0.016952378675341606,0.12148632109165192,                        0.12194057554006577,0.0014214756665751338,0.30205658078193665,                        0.993359386920929,0.84375
3775,1368.6402802467346,                        0.14558576047420502,0.025024812668561935,0.12246931344270706,                        0.04585878178477287,0.00150059734005481,0.04833713918924332,                        0.9925780892372131,0.828125
3800,1377.5289194583893,                        0.18295827507972717,0.02058045193552971,0.12204847484827042,                        0.14596718549728394,0.0018109690863639116,0.08836005628108978,                        0.9921875,0.734375
3825,1386.4514696598053,                        0.1668577939271927,0.03422274440526962,0.12337023764848709,                        0.05507244914770126,0.0020951826591044664,0.07652359455823898,                        0.9832030534744263,0.765625
3850,1395.373013973236,                        0.2017304003238678,0.016322992742061615,0.11990441381931305,                        0.05032360926270485,0.0021418030373752117,0.2657982110977173,                        0.9921875,0.765625
3875,1404.3598046302795,                        0.1802460253238678,0.029911447316408157,0.1273490935564041,                        0.04553314298391342,0.0013182461261749268,0.1358911395072937,                        0.989453136920929,0.765625
3900,1413.24178481102,                        0.20212963223457336,0.021592024713754654,0.12211624532938004,                        0.17647260427474976,0.0013175136409699917,0.11871131509542465,                        0.985156238079071,0.703125
3925,1422.1899280548096,                        0.1885114461183548,0.028497645631432533,0.12224128097295761,                        0.05171392858028412,0.0012984274653717875,0.1747637689113617,                        0.9855468273162842,0.703125
3950,1431.0607509613037,                        0.1972235143184662,0.025974582880735397,0.12493913620710373,                        0.1093255877494812,0.0013060494093224406,0.14785030484199524,                        0.9917968511581421,0.8125
3975,1439.9860589504242,                        0.17313280701637268,0.012574168853461742,0.12129472941160202,                        0.09704447537660599,0.0010450908448547125,0.13386905193328857,                        0.985546886920929,0.75
4000,1448.8613176345825,                        0.18184342980384827,0.027187634259462357,0.12183402478694916,                        0.12684883177280426,0.0016948861302807927,0.08239056915044785,                        0.9964843392372131,0.921875
4025,1457.7675714492798,                        0.39585667848587036,0.014217215590178967,0.11986882239580154,                        0.29978251457214355,0.0011856869095936418,0.6714912056922913,                        0.9874999523162842,0.78125
4050,1466.6415357589722,                        0.48246267437934875,0.05388472229242325,0.12526626884937286,                        0.03464116156101227,0.0016127825947478414,1.0791735649108887,                        0.9910155534744263,0.75
