i,time,loss,ce,kl,accuracy,prec
316700,1705856536.4518936,0.19629055261611938,0.05462958663702011,0.14166095852851868,0.9727500081062317,0.4699999988079071
316800,1705856547.3892136,0.1953490972518921,0.05718991905450821,0.13815917074680328,0.9770000576972961,0.5199999809265137
316900,1705856557.986796,0.23695102334022522,0.08765918016433716,0.14929184317588806,0.9777499437332153,0.5699999928474426
317000,1705856568.6085782,0.2396041601896286,0.09144628047943115,0.14815787971019745,0.9702499508857727,0.5
317100,1705856579.2336807,0.19110743701457977,0.043568480759859085,0.147538959980011,0.9727499485015869,0.550000011920929
317200,1705856589.8975842,0.31749454140663147,0.16929778456687927,0.1481967568397522,0.9747499823570251,0.44999998807907104
317300,1705856600.7279491,0.19476136565208435,0.05372590571641922,0.14103545248508453,0.9735000133514404,0.5299999713897705
317400,1705856611.3516755,0.21449142694473267,0.06751597672700882,0.14697544276714325,0.9742500185966492,0.4699999988079071
317500,1705856622.3137264,0.20218829810619354,0.056125540286302567,0.14606276154518127,0.9787499904632568,0.5199999809265137
317600,1705856632.9442236,0.2169906049966812,0.07048159837722778,0.14650900661945343,0.9730000495910645,0.41999998688697815
317700,1705856643.7404568,0.21864548325538635,0.07663711160421371,0.14200836420059204,0.9719999432563782,0.44999998807907104
317800,1705856654.3855028,0.21447314321994781,0.070967897772789,0.1435052454471588,0.9800000786781311,0.49000000953674316
317900,1705856665.04858,0.21013599634170532,0.06771634519100189,0.14241965115070343,0.9775000214576721,0.5099999904632568
318000,1705856675.7384005,0.22187364101409912,0.07461800426244736,0.14725564420223236,0.9747499823570251,0.46000000834465027
318100,1705856686.5664995,0.278805136680603,0.11949630826711655,0.15930882096290588,0.9747500419616699,0.47999998927116394
318200,1705856697.2507572,0.21155321598052979,0.0620608851313591,0.1494923233985901,0.9757499694824219,0.49000000953674316
318300,1705856707.9810364,0.18630477786064148,0.045267216861248016,0.14103756844997406,0.9702499508857727,0.41999998688697815
318400,1705856718.6308975,0.20292925834655762,0.05910097435116768,0.14382828772068024,0.9735000729560852,0.4399999976158142
318500,1705856729.387778,0.21981610357761383,0.06931017339229584,0.150505930185318,0.9719999432563782,0.5099999904632568
318600,1705856739.9840071,0.2096264362335205,0.0628453865647316,0.1467810422182083,0.9722500443458557,0.4699999988079071
318700,1705856750.8149986,0.20186637341976166,0.05911114811897278,0.14275522530078888,0.9832499623298645,0.5899999737739563
318800,1705856761.569572,0.21273773908615112,0.07075972110033035,0.14197802543640137,0.9712499976158142,0.4699999988079071
318900,1705856772.3201725,0.21219925582408905,0.05327536538243294,0.1589238941669464,0.9692500233650208,0.44999998807907104
319000,1705856783.0017838,0.2721947431564331,0.1192639023065567,0.1529308259487152,0.9769999980926514,0.44999998807907104
319100,1705856793.5465527,0.20535102486610413,0.05623524263501167,0.14911578595638275,0.9792499542236328,0.5299999713897705
